createdAt,value
2025-04-04T23:59:00.090Z,15.2
2025-04-04T23:57:45.797Z,14.3
2025-04-04T23:56:31.485Z,13.9
2025-04-04T23:55:17.212Z,15.3
2025-04-04T23:54:02.919Z,14.4
2025-04-04T23:52:48.627Z,15.1
2025-04-04T23:51:34.334Z,13.6
2025-04-04T23:50:20.041Z,13.8
2025-04-04T23:49:05.738Z,14.1
2025-04-04T23:47:51.456Z,15.5
2025-04-04T23:46:37.163Z,14.1
2025-04-04T23:45:22.871Z,13.3
2025-04-04T23:44:08.578Z,14.6
2025-04-04T23:42:55.269Z,14
2025-04-04T23:41:40.977Z,14.1
2025-04-04T23:40:26.684Z,13.1
2025-04-04T23:39:12.391Z,18.8
2025-04-04T23:37:58.099Z,12.8
2025-04-04T23:36:43.806Z,16.2
2025-04-04T23:35:29.513Z,14.9
2025-04-04T23:34:15.221Z,15.3
2025-04-04T23:33:00.928Z,17.2
2025-04-04T23:31:46.635Z,15.6
2025-04-04T23:30:32.343Z,13.9
2025-04-04T23:29:18.049Z,15
2025-04-04T23:28:03.757Z,17.3
2025-04-04T23:26:50.448Z,14.1
2025-04-04T23:25:36.155Z,14.4
2025-04-04T23:24:21.862Z,15.4
2025-04-04T23:23:07.570Z,15.9
2025-04-04T23:21:53.277Z,14.9
2025-04-04T23:20:38.984Z,15.3
2025-04-04T23:19:24.692Z,14.2
2025-04-04T23:18:10.399Z,18.6
2025-04-04T23:16:56.106Z,15.2
2025-04-04T23:15:41.813Z,13.8
2025-04-04T23:14:27.521Z,13.8
2025-04-04T23:13:13.228Z,14.7
2025-04-04T23:11:58.935Z,14.7
2025-04-04T23:10:45.626Z,14.4
2025-04-04T23:09:31.333Z,13.6
2025-04-04T23:08:17.041Z,13.9
2025-04-04T23:07:02.748Z,13.2
2025-04-04T23:05:48.455Z,14.9
2025-04-04T23:04:34.163Z,13.5
2025-04-04T23:03:19.870Z,14.2
2025-04-04T23:02:05.577Z,14.6
2025-04-04T23:00:51.285Z,13.6
2025-04-04T22:59:36.992Z,17.3
2025-04-04T22:58:22.699Z,14.1
2025-04-04T22:57:08.406Z,17.4
2025-04-04T22:55:54.114Z,13.9
2025-04-04T22:54:40.805Z,14.2
2025-04-04T22:53:26.512Z,12.9
2025-04-04T22:52:12.220Z,12.6
2025-04-04T22:50:57.927Z,14.4
2025-04-04T22:49:43.634Z,14
2025-04-04T22:48:29.342Z,12.9
2025-04-04T22:47:15.049Z,14.2
2025-04-04T22:46:00.756Z,13.1
2025-04-04T22:44:46.464Z,13.5
2025-04-04T22:43:32.171Z,14.9
2025-04-04T22:42:17.879Z,13.3
